STATION,NAME,DATE,AWND,PRCP,SNOW,TMAX,TMIN
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/16/08,7.16,0,0,90,71
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/17/08,8.95,0,0,89,71
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/18/08,5.37,0.04,0,86,74
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/19/08,5.82,1.61,0,78,67
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/20/08,5.82,0.74,0,86,68
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/21/08,7.38,0.13,0,83,68
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/22/08,8.72,0,0,77,63
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/23/08,8.5,0,0,81,60
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/24/08,4.47,0,0,82,59
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/25/08,6.93,0,0,82,61
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/26/08,9.17,0,0,84,65
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/27/08,6.71,0,0,83,62
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/28/08,6.04,0,0,85,66
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/29/08,7.83,0.05,0,88,65
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/30/08,8.5,0,0,89,72
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/31/08,5.82,0.14,0,89,72
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/1/08,5.82,1.05,0,89,68
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/2/08,9.17,0,0,81,65
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/3/08,6.04,0,0,84,61
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/4/08,8.95,2.43,0,87,70
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/5/08,7.38,0,0,87,69
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/6/08,8.05,0,0,84,67
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/7/08,9.4,0,0,82,64
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/8/08,7.38,0,0,79,63
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/9/08,8.95,0,0,80,62
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/10/08,8.95,0,0,74,58
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/11/08,6.26,0,0,77,59
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/12/08,3.8,0,0,77,61
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/13/08,4.7,0.06,0,79,66
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/14/08,7.83,0,0,79,63
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/15/08,7.83,0,0,78,61
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/16/08,6.49,0,0,83,58
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/17/08,8.05,0,0,84,63
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/18/08,7.38,0,0,85,65
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/19/08,6.71,0,0,82,63
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/20/08,7.38,0,0,81,65
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/21/08,8.5,0,0,82,68
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/22/08,12.75,0.09,0,83,72
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/23/08,9.4,0,0,87,68
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/24/08,9.62,0,0,77,63
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/25/08,11.41,0,0,74,64
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/26/08,8.5,0,0,76,61
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/27/08,5.82,0,0,83,61
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/28/08,6.71,0.06,0,80,63
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/29/08,6.49,0.04,0,85,64
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/30/08,3.8,0,0,87,56
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8/31/08,5.37,0,0,90,60
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/1/08,7.61,0,0,90,62
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/2/08,4.47,0,0,94,65
